author_id,created_at,text
975743360240627712,2024-11-15 00:42:58+00:00,PSUV y Partido Comunista de China refuerzan alianzas estratégicas para un futuro próspero https://t.co/lcE0OOThaC
831311622694133760,2024-11-15 00:42:58+00:00,RT @blackintheempir: Since China has been beating the US for a couple of decades now I enjoy watching Americans still saying they are Commu…
1492221466842181634,2024-11-15 00:42:58+00:00,RT @joeldavisx: @RnaudBertrand The only way this can be fixed is if Western nations embrace the principles more or less of national sociali…
3584459832,2024-11-15 00:42:57+00:00,"https://t.co/0f2zQiMXX3
Naïve, greedy, Europeans (&amp; Australia under 'handsome boy') just choose not to 'get' what China is about: their destruction."
4847858419,2024-11-15 00:42:57+00:00,"RT @vasilisginger: Aprende a curar la gastritis bajo el enfoque de la medicina tradicional China.

La medicina tradicional China es un sist…"
1736520282913820672,2024-11-15 00:42:56+00:00,"RT @verdeembeleso: Que lo sepa China
Que lo sepa Xi Jinping
Que lo sepa el mundo
Dina y el Congreso
Nos están masacrando
#APECPeru2024 http…"
65482157,2024-11-15 00:42:56+00:00,"RT @jackymc100: ¡¡HOY   Dina  Boluarte  y  el  presidente  de  China, Xi  Jinping,  inaugurarán  el megapuerto  de  Chancay!!
¿QUÉ  TE  PAR…"
948882018103947265,2024-11-15 00:42:55+00:00,"RT @PIIE: China needs to reverse its deflation, but the central bank faces multiple constraints in further loosening monetary policy. Fisca…"
1352719829950746624,2024-11-15 00:42:54+00:00,"RT @ipoduje: Esto lo advirtió el ex Presidente Frei hace años.

Con este megaproyecto, Perú lidera la capacidad portuaria del Pacífico Sur.…"
72123487,2024-11-15 00:42:54+00:00,"RT @MundoEConflicto: ⚡️ #AHORA | China profundiza su influencia en Latinoamérica: Presidenta de Perú, Dina Boluarte, y el presidente chino,…"
